track_id,artists,album_name,track_name,popularity,duration_ms,danceability,key,acousticness,liveness,tempo,track_genre
14gmLQPNYokqB8OKxAp69f,keshi,Shang-Chi and The Legend of The Ten Rings: The Album,War With Heaven,64,193373,0.622,5,0.014,0.304,84.996,chill
5brs9JsOe5Dx0joPjr8zjN,Full Of Hell,Roots of Earth Are Consuming My Home,The Bed Is Burning,17,169680,0.204,7,1.82e-06,0.277,140.078,grindcore
15f16lrsDzFeNpHYBTzHLI,Rammstein,Rammstein,Sex,59,236529,0.608,8,0.000561,0.156,123.018,industrial
4W11ykVxHguZTyd30ckgLh,Felix Rösch,Piano,Berceuse,51,127147,0.222,0,0.99,0.163,79.693,ambient
3dAiWRwZXd8pEOhItkkZXb,Bachman-Turner Overdrive,Fiesta temática 70s,Hey You,0,210893,0.491,9,0.0526,0.274,118.161,songwriter
6bmTICS9eCs5o0uYEW0wrH,sonolon,city skyline,sunset chat,27,124235,0.711,1,0.933,0.112,84.966,study
3CJZhC38mzhcJKli018fil,Glass Animals,Arbeitsmusik Herbst/Winter 2022/2023,Heat Waves,0,238805,0.761,11,0.44,0.0921,80.87,indie
7AV1hh76pC1mg4iSH796Vp,Arijit Singh;Palak Muchhal;Jeet Gannguli,Rustom (Original Motion Picture Soundtrack),Dekha Hazaro Dafaa,65,207751,0.411,7,0.903,0.209,143.768,pop-film
7jkfwumh6cQYFsIsqPJ7ps,The Platters,A Very 60s Christmas,Winter Wonderland,0,133133,0.648,3,0.806,0.396,102.511,rockabilly
6Kd4iGylMjrpr1xVbuYKVw,JPEGMAFIA,black ben carson,the 27 club,54,236439,0.523,1,0.51,0.653,101.207,industrial
3DZn38zzqsOjdwabkb5Puf,Álvaro Del Castillo,Un Niche de las Tinieblas a la Luz,Un Niche de las Tinieblas a la Luz,28,328866,0.798,8,0.613,0.273,94.89,salsa
6gStKpgo3H7cC3gYaUqcup,IWL,I Know You so Well,I Know You so Well,49,93134,0.717,2,0.297,0.0945,67.037,sad
0815caqt2Lytro5EIzMufT,Lifehouse,Lifehouse,You And Me,76,195493,0.459,7,0.114,0.168,139.902,alt-rock
77LGo7rrklGFB2kGaiqq0E,Richard M. Sherman;Robert B. Sherman,Walt Disney Records The Legacy Collection: Disneyland,"The Tiki, Tiki, Tiki Room - From ""The Enchanted Tiki Room""",23,207546,0.649,8,0.812,0.139,89.856,disney
1KYqHPwbceagFffliE7fBg,Yuvan Shankar Raja;Sid Sriram,Viruman (Original Motion Picture Soundtrack),Kanja Poovu Kannala,61,237558,0.675,8,0.29,0.178,109.971,k-pop
0072MKNpMeJNx8aRfTNfQW,Pritam;Arijit Singh,Holiday - A Soldier Is Never Off Duty (Original Motion Picture Soundtrack),Shaayraana,58,261439,0.604,2,0.607,0.0832,93.963,indian
1Y8XeNdmHT1izTT87DblYr,Akcent;Chante,Inshallah,Inshallah,40,160476,0.773,9,0.00134,0.042,126.002,disco
3ODtGy133cqCHLufjWu14L,Philip Glass;Paul Leonard-Morgan,Tales from the Loop (Original Soundtrack),Walk to School,53,130678,0.225,9,0.977,0.107,169.851,ambient
7s0qlp1ibUxVXLsOM0YWia,Pritam;Arijit Singh;Neeti Mohan,Kalank (Original Motion Picture Soundtrack),First Class,62,276959,0.534,1,0.449,0.354,187.576,indian
1964zxkJByManoIYrUkSHU,Tihuana,Nova Bis - Tihuana,Tropa De Elite,39,194773,0.716,2,0.0434,0.0383,144.324,punk
07ceEXOyS7ghQkyCOycXwP,Killswitch Engage,As Daylight Dies (Special Edition),This Fire,61,189666,0.447,7,1.56e-05,0.474,140.018,metal
6DRWiEJyjKr8iy4ys0jE7R,La 25,Entre Cuervos y Chacales,De Paso Nomás,44,185501,0.646,7,0.0584,0.376,126.022,alt-rock
3GoyKcksFtPVDuNbQnqWvU,The Birthday Massacre,Imagica,Under the Stairs,20,238906,0.46,0,8.62e-05,0.0953,139.386,industrial
2DBl92At0WtqpeHMlHSbRs,Attaque 77,Otras Canciones,Perfección,35,316826,0.431,2,0.00732,0.0981,105.391,ska
3wNycDzsKr9SYh58yWsnP2,Mr.Children,重力と呼吸,秋がくれた切符,39,210733,0.287,3,0.425,0.335,77.583,j-pop
4YZheVi8mEl3p6vtuNMNYh,Revenge The Fate,Redemption,The End,22,201133,0.442,4,3.37e-05,0.207,120.002,death-metal
3f9dNrQR4stx9CCfpqZVSf,Pritam;Arijit Singh;Amitabh Bhattacharya,Brahmastra (Original Motion Picture Soundtrack),Rasiya Reprise,60,285000,0.34,4,0.798,0.0963,151.383,indian
6gtgq9mZMjBYG5UklzZZ7b,Rain Sounds,Soft Rain Sleep,Monsun,33,101357,0.132,7,2.25e-06,0.34,82.432,sleep
2Kp7pJ36kT6n5YlGm8PixL,Jerry Di;Mariah Angeliq;Kevin Roldan;Guaynaa;Randy;Brytiago;Jd Pantoja;Cuna;Pablo C Fuentes;Neneto,FELIZ CUMPLEAÑOS,Mi Cuarto 2,0,297173,0.861,1,0.672,0.162,97.049,latino
3XQnDqrSRUlsLL3hVFw4MI,Dora The Explorer,Dora The Explorer,We Did It!,26,37093,0.84,2,0.381,0.0467,145.085,kids
1SXRVPBqTOBlcMSbYwHfFH,Blake Shelton,New Country,Come Back as a Country Boy,1,221733,0.494,7,0.0197,0.309,76.069,country
3tRFo1mXVNC5Wwrv7T8trF,The Pretty Things,Parachute,The Good Mr. Square,57,86693,0.584,7,0.305,0.162,139.087,psych-rock
5qpHJzOUFE2VZXFOs0x15l,Vitinho,"Sonhos, Vol. 1 (Ao Vivo)",Onde Você Mora / Fim de Tarde / Pensando em Você - Ao Vivo,44,271047,0.564,2,0.577,0.955,92.051,pagode
6Kh5thzbnEAGzgLFeiVRc4,Shane O,Wedding Cake Riddim,All Out,0,144039,0.657,5,0.0295,0.159,126.992,dancehall
4VWlZb7Xiq1Im9Abzhe9fp,Humberto & Ronaldo,Saudade Véia (Ao Vivo),Saudade Véia - Ao Vivo,56,160682,0.633,1,0.335,0.128,162.032,sertanejo
6Ug8Q77sgu81hEjiVH96t6,Schwesta Ewa;Adones,190 Tage,190 Tage,41,265116,0.678,0,0.526,0.152,85.647,german
113bLl5jctdK2FHIt32o6k,Papi Pier,larvaline,larvaline,8,108750,0.7,5,0.95,0.105,159.968,study
7BRlRPXSBWWLCuPt6se1lZ,Rotten Sound,Suffer to Abuse,Privileged,13,84500,0.235,8,1.76e-06,0.22,115.061,grindcore
0fD1fq7QV8CyDweIx0D8qF,Sujatha,Valentine's Day Special 2015,"Sotta Sotta (From ""Taj Mahal"")",31,344816,0.751,5,0.145,0.0841,94.991,malay
58zuwdJzxODln0rcx7lm44,ACE COLLECTION,モノクロシティ,モノクロシティ,50,254539,0.715,7,0.0337,0.223,134.986,anime
4c1gzL3WjUCmUVDud6Aste,Seven Lions;Tritonal;Kill The Noise;HALIENE,Horizon,Horizon,47,271058,0.384,10,0.019,0.186,169.984,dubstep
2TXO54YCXHrP131SwQ3azF,Los Hermanos,Ventura,Deixa o Verão,40,159933,0.568,3,0.473,0.261,136.987,mpb
